月曜日の朝、スカートを切られた,欅坂46,日文；流行；秋元系,
シンクロニシティ,乃木坂46,日文；流行；秋元系,
ハルカトオク,saya,日文；ACG；舰长,比宇宙更远的地方
Evergreen,指出毬亜,日文；ACG,LoveLive
Over The Next Rainbow,Aqours,日文；ACG；舰长,LoveLive
ひねくれ,鎖那,日文；流行,
さよなら、テディベア,鎖那,日文；流行,
鍵っ子,鎖那,日文；流行,
透明声彩,YuNi,日文；流行,
夜明けの孤独,平手友梨奈,日文；流行；秋元系,
オレンジミント,早見沙織,日文；ACG,物语系列
Humming Bird,Goose house,日文；流行,
黒蜜,Yuu,日文；流行,
テンテン,水曜日のカンパネラ,日文；流行,
dark cherry mystery,水橋かおり,日文；ACG,物语系列
僕らの走ってきた道は…,Aqours,日文；ACG,LoveLive
Brightest Melody,Aqours,日文；ACG,LoveLive
花鳥風月,高森奈津美,日文；ACG；Rap,
あるバイト ～次のバイトが来ないから～,種崎敦美,日文；ACG；Rap,
Rainy Girl - レイニーカ?ール,HoneyComeBear,日文；流行；电音,
沈黙した恋人よ,日向坂46,日文；流行；秋元系,
まどろみの約束,佐藤聡美/茅野愛衣,日文；ACG,冰菓
Nobody,欅坂46,日文；流行；秋元系,
黒い羊,欅坂46,日文；流行；秋元系,
カワキヲアメク,美波,日文；ACG；提督,声嘶力竭 家有女友
RESISTER,ASCA,日文；ACG；舰长,刀剑神域
summertime,cinnamons,日文；流行,
ロケットビート,安野希世乃,日文；ACG,魔卡少女樱 CLEAR CARD篇
絶体絶命,C? shu Nie,日文；ACG；舰长,约定的梦幻岛
メルヘル小惑星,ナナヲアカリ,日文；流行；舰长,梅尔赫尔小行星 Nanawoakari
世界には愛しかない,欅坂46,日文；流行；秋元系,
夜行少女,小野道ono,中文；流行,
KEMURIKUSA,ナノ,日文；ACG；舰长,烟草
U.S.A.,DA PUMP,日文；流行,
センチメンタルクライシス,halca,日文；ACG,辉夜大小姐想让我告白 半首
火炎,女王蜂,日文；ACG,多多罗
下一秒,张碧晨,中文；流行；舒缓,
思念是一种病,张震岳/蔡健雅,中文；流行；舒缓,
红色高跟鞋,蔡健雅,中文；流行；舒缓；V圈金曲,
惑星ループ,初音未来,日文；术力口；舰长,行星环
ブルーバード,いきものがかり,日文；ACG；SC,火影忍者 青鸟 SC点歌
パプリカ,Foorin,日文；流行,红辣椒
ロキ,鏡音リン,日文；术力口；舰长,Roki
アイリス,藍井エイル,日文；ACG；舰长,刀剑神域
Heartache,ONE OK ROCK,日文；ACG；流行,浪客剑心
エキセントリック,欅坂46,日文；流行；秋元系,怪人
渋谷からPARCOが消えた日,欅坂46,日文；流行；秋元系,
風に吹かれても,欅坂46,日文；流行；秋元系,
ガラスを割れ!,欅坂46,日文；流行；秋元系,
不協和音,欅坂46,日文；流行；秋元系；舰长,
二人セゾン,欅坂46,日文；流行；秋元系；舰长,
アンビバレント,欅坂46,日文；流行；秋元系,Ambivalent
サイレントマジョリティー,欅坂46,日文；流行；秋元系；舰长,沉默的多数派
Flamingo,米津玄師,日文；流行,
T-series Diss Track,PewDiePie,英文；Rap；SC,SC点歌
海洋之心,吉克隽逸,中文；ACG；舰长,迪士尼 海洋奇缘
ドキピポ☆エモーション,田中ちえ美,日文；ACG,LoveLive
めっちゃGoing!!,村上奈津実,日文；ACG,LoveLive
Starlight,久保田未夢,日文；ACG,LoveLive
CHASE!,楠木ともり,日文；ACG；SC,LoveLive SC点歌
星と君が消えた日,泠鸢yousa,日文；ACG；舰长,崩坏学园2 星与你消失之日
ハジマリロード,Aqours,日文；ACG；舰长,LoveLive
Great Days,青木カレン,日文；ACG；舰长,JOJO
マカロン,初音ミク,日文；术力口；舰长,马卡龙 ATOLS
神風,初音ミク,日文；术力口,ATOLS
POP/STARS,K/DA,英文；韩文；ACG；Rap；舰长,英雄联盟
Pre-STAR,战斗吧歌姬,中文；ACG；V圈金曲；舰长,
越来越不懂,蔡健雅,中文；流行；舒缓,
予測不可能Driving!,Aqours,日文；ACG,LoveLive
Marine Border Parasol,Aqours,日文；ACG,LoveLive
unravel,TK from 凛として時雨,日文；ACG；舰长,东京喰种
ADAMAS ,LiSA,日文；ACG；舰长,刀剑神域
シルシ,LiSA,日文；ACG；舰长,刀剑神域
BLACK DIAMOND,水樹奈々,日文；ACG,守护甜心
迷宮バタフライ,水樹奈々,日文；ACG,守护甜心 迷宫蝴蝶
フリージア,Uru,日文；ACG；舰长,希望之花 铁血的孤儿
カナリア,ReoNa,日文；ACG；舒缓,Happy Sugar Life
スリピス,長江里加/小原好美/木野日菜,日文；ACG；舒缓,游戏三人娘
インキャインパルス,長江里加/小原好美/木野日菜,日文；ACG,游戏三人娘
宵々古今,REOL,日文；流行；舰长,
セーラー服を脱がさないで,小猫俱乐部,日文；流行；秋元系；提督,不要脱人家的水手服
大丈夫,wacci,日文；流行,
風になる,つじあやの,日文；ACG,猫的报恩 幻化成风
僕らの手には何もないけど、,RAM WIRE,日文；流行,尽管我们手中空无一物
Happy Halloween,柊優花/鎖那,日文；术力口；卖萌,
失恋リピーター,鎖那,日文；卖萌；流行,
嘘つき,藤原さくら,日文；流行,
Sneaker - スニーカー,HoneyComeBear,日文；流行；电音,
水星,ラブリーサマーちゃん,日文；流行,
Inner Urge,上坂すみれ,日文；ACG；提督,没有黄段子的无聊世界
"""MY LIST"" to you!",Aqours,日文；ACG,LoveLive
銀色飛行船,supercell,日文；ACG；舒缓,被狙击的学园
シュテルン,鎖那,日文；卖萌；流行,
ミッション! 健?康?第?イチ,花澤香菜,日文；ACG,工作细胞 半首
緋色月下、狂咲ノ絶,nayuta,日文；ACG；舰长,东方
CheerS,ClariS,日文；ACG,工作细胞 半首
呼吸,mol-74,日文；流行,
まっさらブルージーンズ,℃-ute,日文；流行；地偶,
恋のサカズキ,ゴクドルズ虹組,日文；ACG；舰长,后街女孩
小さな恋のうた,新垣結衣,日文；流行,小小恋歌
星のかたち,ゴクドルズ虹組,日文；ACG；舰长,后街女孩
ゴクドルミュージック,ゴクドルズ虹組,日文；ACG；舰长,后街女孩
灼け落ちない翼,多田葵,日文；ACG；舰长,夏洛特
僕らの戦場,鈴木みのり,日文；ACG；舰长,超时空要塞
絶対零度θノヴァティック,ワルキューレ,日文；ACG；舰长,超时空要塞
一度だけの恋なら,ワルキューレ,日文；ACG；舰长,超时空要塞
カタオモイ,Aimer,日文；流行；舰长；V圈金曲,单相思
FEELING AROUND,鈴木みのり,日文；ACG；舰长,爱吃拉面的小泉同学
No.10,Aqours,日文；ACG,LoveLive
Thank you， FRIENDS!!,Aqours,日文；ACG,LoveLive
待ってて愛のうた,Aqours,日文；ACG,LoveLive
???????,藤井奈央,日文；ACG,萤之光 火影忍者
アブラカダブラ ~avra K'Davarah~,GARNiDELiA,日文；流行,
Guilty!? Farewell party,Guilty Kiss,日文；ACG,LoveLive
サクラバイバイ,CYaRon!,日文；ACG,LoveLive
卒業ですね,AZALEA,日文；ACG,LoveLive
キセキヒカル,Aqours,日文；ACG,LoveLive
Glass Walls,Nik Ammar,英文；ACG,奇异人生
Bboom Bboom,MOMOLAND,中文；K-pop；流行,
给你宇宙,脸红的思春期,中文；K-pop；流行,
地獄タクシー,吉澤嘉代子,日文；流行,
手と手,CY8ER,日文；流行；地偶,
ドミノエフェクト,Goose house,日文；流行,
今、走れ！,Goose house,日文；流行,
おかしなわたしとはちみつのきみ,はちみつロケット,日文；ACG,粗点心战争2
ふわふわ時間,放課後ティータイム,日文；ACG,轻音少女 滑滑蛋
ミニスカート,AOA,日文；K-pop；流行,迷你裙
New winding road,鈴木愛奈,日文；ACG,LoveLive
さかなかなんだか?,諏訪ななか,日文；ACG,LoveLive
RED GEM WINK,降幡愛,日文；ACG,LoveLive
WHITE FIRST LOVE,小宮有紗,日文；ACG,LoveLive
キミのくせに!,lily white,日文；ACG,LoveLive
夕暮れ,THE BLUE HEARTS,日文；流行,黄昏
ツキアカリのミチシルベ,ステレオポニー,日文；ACG,黑之契约者 月光的指引 半首
恋の2-4-11,,日文；ACG,舰队collection
New World,Aioi,日文；ACG,Cytus
病名恋ワズライ,戸松遥,日文；ACG,Honeyworks
初恋の絵本,豊崎愛生,日文；ACG,Honeyworks
告白予行練習,戸松遥,日文；ACG,Honeyworks
金曜日のおはよう,雨宮天,日文；ACG,Honeyworks
ウィアートル,rionos,日文；ACG；舰长,朝花夕誓—于离别之朝束起约定之花
軌跡,Roselia,日文；ACG；舰长,邦邦
in this unstable world,小林愛香,日文；ACG,LoveLive
Beginner's Sailing,斉藤朱夏,日文；ACG,LoveLive
Pianoforte Monologue,逢田梨香子,日文；ACG,LoveLive
シュガーソングとビターステップ,BENI,日文；ACG,幻界战线
11月の雨,CHiCO,日文；ACG,Honeyworks
ハートの主張,CHiCO,日文；ACG,Honeyworks
恋のコード,CHiCO,日文；ACG,Honeyworks
ユキドケ,CHiCO,日文；ACG,Honeyworks
アイのシナリオ,CHiCO,日文；ACG；舰长,Honeyworks 魔术快斗
ヒストリア,CHiCO,日文；ACG,Honeyworks
プライド革命,CHiCO,日文；ACG；舰长,Honeyworks 银魂
恋色に咲け,CHiCO,日文；ACG,Honeyworks 从很久以前就喜欢你了
ウルフ,CHiCO,日文；ACG,Honeyworks
カヌレ,CHiCO,日文；ACG,Honeyworks
私、アイドル宣言,CHiCO,日文；ACG；舰长,Honeyworks 我的偶像宣言
センパイ。,TrySail,日文；ACG；舰长,前辈 Honeyworks 喜欢上你的那个瞬间。
絆,miu-clips,日文；流行,
Angelic Angel,μ's,日文；ACG,LoveLive
彼女は旅に出る,鎖那,日文；流行,她踏上了旅途
もうそう?えくすぷれす,花澤香菜,日文；ACG,囮物语 物语系列
东京冬日相会,祈Inory,日文；ACG,Honeyworks
"Don't say ""lazy""",放課後ティータイム,日文；ACG,轻音少女
追光者,岑宁儿,中文；流行,夏至未至
今好きになる。,鎖那,日文；ACG,Honeyworks
セダンガール,Goose house,日文；流行,
KiRa-KiRa Sensation!,μ's,日文；ACG,LoveLive
Love Potion,鎖那,日文；ACG,
回る空うさぎ,初音未来,日文；术力口；V圈金曲,月兔回旋于空中
おやすみなさん!,高槻かなこ,日文；ACG,LoveLive
Girls,MARiA,日文；ACG,
走れメロンパン,ここなつ,日文；ACG,
ゆうべは俺が悪かった,ハンバート ハンバート,日文；流行,昨晚我错了
黒ネコのタンゴ,大橋のぞみ,日文；儿歌,黑猫的探戈
グッドモーニング,Goose house,日文；流行,
One Step,水瀬いのり/花澤香菜,日文；ACG,比宇宙更遥远的地方
ミラクルカラーズ☆本日も異常ナシ!,カラーズ☆スラッシュ,日文；ACG,三颗星彩色冒险
カラーズぱわーにおまかせろ!,カラーズ☆スラッシュ,日文；ACG,三颗星彩色冒险
Sincerely,TRUE,日文；ACG；舰长,紫罗兰永恒花园
ここから、ここから,水瀬いのり/花澤香菜,日文；ACG,比宇宙更遥远的地方
The Girls Are Alright!,水瀬いのり/花澤香菜,日文；ACG,比宇宙更遥远的地方
LUVORATORRRRRY,GUMI/镜音铃,日文；术力口；Rap,
みちしるべ,茅原実里,日文；ACG；舰长,紫罗兰永恒花园
secret base ~君がくれたもの~ ,茅野愛衣/戸松遥/早見沙織,日文；ACG；舰长,未闻花名
夜空ノムコウ,Sotte Bosse,日文；流行,
平行線,さユり,日文；ACG；舰长,人渣的本愿
恋,星野源,日文；流行,逃避虽可耻但有用
可愛くなりたい,鎖那,日文；ACG,想要变得可爱
ヒビカセ,Reol,日文；流行,让其响彻
No title,Reol,日文；流行,
ピカピカなのん,小岩井ことり,日文；ACG；卖萌,悠哉日常大王
PiNK CAT,GARNiDELiA,日文；ACG,
極楽浄土,GARNiDELiA,日文；ACG；舰长,
Hysteric Bullet,GARNiDELiA,日文；ACG；舰长,
CLEAR,坂本真綾,日文；ACG,魔卡少女樱
ふたりのきもちのほんとのひみつ,愛殺寶貝,日文；ACG,二人心意的真正秘密
千本桜,初音未来,日文；术力口；舰长,
Catch the Moment,LiSA,日文；ACG；舰长,刀剑神域
好き！雪！本気(マジ)マジック,初音未来,日文；术力口；舰长,喜欢！雪！真实的魔法
今夜だけ,石野卓球,日文；ACG,恶魔人 crybaby
WONDERFUL STORIES,Aqours,日文；ACG；舰长,LoveLive
WATER BLUE NEW WORLD,Aqours,日文；ACG；舰长,LoveLive
fish in the pool,ヘクとパスカル,英文；ACG；舰长；舒缓,花与爱丽丝杀人事件
Forever Friends,Daoko,英文；ACG；舰长；舒缓,升空的焰火，从下面看还是从侧面看?
七色シンフォニー,コアラモード.,日文；ACG；舰长,四月是你的谎言
オレンジ,seven oops,日文；ACG；舰长,四月是你的谎言
泡沫、哀のまほろば,senya,日文；ACG；舰长,东方
Beautiful,CREAM,日文；英文；流行,
世界は恋に落ちている,CHiCO,日文；ACG；舰长,青春之旅 我的世界已坠入爱河
センチメンタルな愛慕心,あり,日文；流行,
One More Sunshine Story,伊波杏樹,日文；ACG,LoveLive
言って。,ヨルシカ,日文；流行；舰长,夜鹿 yorushika 说吧
ECHO,a,日文；术力口；舰长,
[A]ddiction,EVO+,日文；流行；舰长,
聞こえますか,莉犬,日文；ACG；舰长,Honeyworks
behind,礒部花凜/芳野由奈/Lynn,日文；ACG；舰长,Just Because!
Morning Call,ORESAMA,日文；流行,
オノマペット,初音未来,日文；术力口；舰长,拟声词
This is the show,辻詩音,日文；流行,
Lost in wonderland,辻詩音,日文；流行,
届かない恋,茅野愛衣,日文；ACG；舰长,白色相簿 无法传达的恋情
DROPOUT!?,Saint Snow,日文；ACG,LoveLive
CRASH MIND,Saint Snow,日文；ACG,LoveLive
Awaken the power,Aqours,日文；ACG,LoveLive
这一天我什么都不想干,谢春花,中文；流行；ACG,女生宿舍日常
はじめ,関取花,日文；流行；舒缓,
oyasumi,Shiggy Jr.,日文；流行,
雨だれの歌,久保ユリカ/水瀬いのり,日文；ACG,少女终末旅行
More One Night,久保ユリカ/水瀬いのり,日文；ACG,少女终末旅行
動く、動く,久保ユリカ/水瀬いのり,日文；ACG,少女终末旅行
over and over,やなぎなぎ,日文；ACG,Just Because!
いつも何度でも,伊藤サチコ,日文；ACG；舒缓,千与千寻
HANNARI,CY8ER,日文；流行；地偶,
少女以上の恋がしたい,Aqours,日文；ACG,LoveLive
一番の宝物,LiSA,日文；ACG；舒缓；舰长,Angel Beats! 
恋はヒラひらり,Goose house,日文；流行,
笑顔の花,Goose house,日文；流行,
瑠璃色の地球,松田聖子,日文；流行,琉璃色的地球
LOSER,米津玄師,日文；流行；舰长,
MY舞☆TONIGHT,Aqours,日文；ACG,LoveLive
MIRACLE WAVE,Aqours,日文；ACG,LoveLive
,,,
まげてのばして,中谷美紀,日文；流行,被人嫌弃的松子的一生
蓮,Yuu,日文；流行,
少女たちの終わらない夜,ORESAMA,日文；流行,
打上花火,Daoko/米津玄師,日文；ACG；舒缓,升空的焰火，从下面看还是从侧面
冬のエピローグ,Goose house,日文；流行,
光るなら,Goose house,日文；ACG；舰长,四月是你的谎言
君のとなり,Dream Ami,日文；流行,
あたしを彼女にしたいなら,コレサワ,日文；流行,若想要我成为你的女友
海辺のカフェ,sympathy,日文；流行,
カルデラ,黒木渚,日文；流行；舰长,
可愛くなりたい,雨宮天,日文；ACG；舰长,想变可爱
smile for you,神田沙也加,日文；ACG,刀剑神域 -序列之争-
Break Beat Bark!,神田沙也加,日文；ACG,刀剑神域 -序列之争-
delete,神田沙也加,日文；ACG；舰长,刀剑神域 -序列之争-
Ubiquitous dB,神田沙也加,日文；ACG；舰长,刀剑神域 -序列之争-
longing,神田沙也加,日文；ACG；舰长,刀剑神域 -序列之争-
ドレミファロンド,96猫,日文；流行,
SSS,佐藤亜美菜,日文；ACG；舰长,少女编号
DESTRUCTION,沼倉愛美/内山夕実,日文；ACG；舰长,魔法少女育成計画
おやすみパラレル,花守ゆみり,日文；ACG,魔法少女育成計画
おとなの掟,Doughnuts Hole,日文；流行,
妄想感傷代償連盟,初音未来,日文；术力口；舰长,DECO*27
カーストルーム,カーストルーム,日文；ACG；舰长,欢迎来到实力至上主义的教室
Deep Blue Townへおいでよ,内田彩/内田真礼/佐倉綾音,日文；ACG；舰长,
インドア系ならトラックメイカー,Yunomi,日文；流行；电音,内向都是作曲家
world.execute (me) ;,Mili,英文；流行；电音,
生きていたんだよな,あいみょん,日文；流行；舰长,她曾活过啊 爱缪
sweets parade,花澤香菜,日文；ACG,妖狐×仆SS
○+●,ef,日文；流行,
チュルリラ?チュルリラ?ダッダッダ!,結月ゆかり,日文；术力口；舰长,くらげP
Love wing bell,μ‘s,日文；ACG,LoveLive!
秋のあなたの空遠く,lily white,日文；ACG,LoveLive!
深海少女,初音未来,日文；术力口；舰长,
Nico,advantage Lucy,日文；流行；舒缓,
ようこそジャパリパークへ,小野早稀,日文；ACG,兽娘动物园
Face to You,竹達彩奈,日文；ACG,刀剑神域
深夜诗人,三无MarBlue,中文；术力口,
マトリョシカ,そらる,日文；术力口；舰长,
ルンがピカッと光ったら,ワルキューレ,日文；ACG,超时空要塞Δ
ミカヅキ,さユり,日文；ACG,乱步奇谭：拉普拉斯的游戏
青い栞,Galileo Galilei,日文；ACG,未闻花名
only my railgun,fripSide,日文；ACG；提督,某科学的超电磁炮
せいいっぱい、つたえたい！,三森すずこ,日文；ACG；提督,修业魔女璐璐萌
